epoch,loss,val_auc,val_ap
1,0.599272882938385,0.97837841466483,0.951832574412264
5,0.1299137249588966,0.980510258551816,0.95514025374
10,0.0979141563177108,0.980294609398528,0.9559238141241532
15,0.0955460339784622,0.9816987560711452,0.9591895235569964
20,0.0933909595012664,0.9837047963672676,0.9677323895990916
25,0.0889131680130958,0.986880972910552,0.9763117528534636
30,0.0841754630208015,0.9882053602382068,0.9789602280314104
35,0.0795970097184181,0.9896109485646486,0.9817203970379048
40,0.0755824729800224,0.9907598599929665,0.9839027189672844
45,0.0713582530617713,0.9916047489334217,0.9855121900684216
50,0.0692287161946296,0.9922166767159144,0.9870163217505424
55,0.068287606537342,0.9925854156561408,0.9878023923336816
60,0.0671967595815658,0.9928448236056284,0.9882938117590742
65,0.0658553451299667,0.9930333450047586,0.9885782337145348
70,0.0658842176198959,0.9931933560663398,0.9888422179017498
75,0.0650696352124214,0.993297466737048,0.98900023056034
80,0.0649735808372497,0.9933644005735428,0.9890870597543616
85,0.0644823923707008,0.9934129232750586,0.9891261136045348
90,0.0644564241170883,0.993441185502622,0.9891836494092474
95,0.0645104154944419,0.9934541091076722,0.9891916595405496
100,0.0647040590643882,0.9934602940795156,0.9891849480125876
